
  Obs  institution_type         region  totalGLHYear1  learnersYear1  totalGLHYear2  learnersYear2  totalGLHYear3  learnersYear3  Size  GLHHours_per_Learner_year1  GLHHours_per_Learner_year2  GLHHours_per_Learner_year3  TotalGlh  TotalGLHperLearner
-----  ----------------  -------------  -------------  -------------  -------------  -------------  -------------  -------------  ----  --------------------------  --------------------------  --------------------------  --------  ------------------
    1  FE College        East Midlands        1299123           9919        1294331           7400        1107795           6630                    130.9731827805              174.9095945946              167.0882352941   3701249      472.9710126692
    2  FE College        East Midlands        1593307          14459        2701354          16526        2543711          14930                    110.1948267515              163.4608495704              170.3758204956   6838372      444.0314968175
    3  FE College        East Midlands        3208343          20923        3088582          12716        2743416          11715                    153.3404865459              242.8894306386              234.1797695262   9040341      630.4096867107
    4  FE College        East Midlands        2615180          36433        3132412          30146        3027782          28989                     71.7805286416              103.9080475022              104.4458932699   8775374      280.1344694136
    5  FE College        East Midlands        1015354           7449         933109           5445         890615           5214                    136.3074238153              171.3698806244              170.8122362869   2839078      478.4895407266
    6  FE College        East Midlands        3713574          27503        3625550          23288        3246155          22447                    135.0243246191              155.6831844727              144.6142023433  10585279      435.3217114351
    7  FE College        East Midlands        2258863          10548        2226036           9825        2648944          13113                    214.1508342814              226.5685496183              202.0089987036   7133843      642.7283826033
    8  FE College        East Midlands        1731174          10303        1841059           9827        1977806           9863                    168.0262059594              187.3470031546              200.5278312887   5550039      555.9010404027
    9  FE College        East Midlands        1006989           4042        1013632           3584        1010010           3725                    249.1313706086              282.8214285714              271.1436241611   3030631      803.0964233411
   10  FE College        East Midlands        4402042          20514        4243906          17834        3739237          17359                    214.5872087355              237.9671414153              215.4062445993  12385185      667.9605947501
   11  FE College        East Midlands         553505           5748         527416           3519              .              .                     96.2952331246              149.8766695084                           .   1080921                   .
   12  FE College        East Midlands         983090           8392        1007053           7541         884089           6781                    117.1460915157              133.5436944702              130.3773779679   2874232      381.0671639538
   13  FE College        East Midlands        3131609          15034        3041629          12935        2833867          11827                     208.301782626              235.1471975261              239.6099602604   9007105      683.0589404126
   14  FE College        East Midlands        1162894          12638        1212173           7834        1008295           5465                     92.0156670359              154.7323206536              184.5004574565   3383362       431.248445146
   15  FE College        East Midlands         752800           5880         853424           4321         782766           4081                    128.0272108844              197.5061328396               191.807400147   2388990       517.340743871

